country.iso,country.name,num_u,num_contrib,gini,pr_total,pr_questions,pr_answers,pr_comments,pr_editions,particip_lower,particip_upper,var,IDV,GNI,Internet,English,WVS
ROU,Romania,793,5071,0.924686849,0.4501891551,0.290037831,0.2295081967,0.2585119798,0.03026481715,0.4158849549,0.4849736173,0.06908866236,30,8150,44,58.63,-1.55
KEN,Kenya,100,128,0.80359375,0.4,0.29,0.16,0.16,0,0.3094012864,0.4979974132,0.1885961268,NA,850,28,NA,NA
EST,Estonia,174,3765,0.9641144235,0.5,0.2873563218,0.3505747126,0.2586206897,0.05172413793,0.4265145109,0.5734854891,0.1469709783,60,15830,76.5,61.39,-1.19
GHA,Ghana,21,43,0.8394241417,0.4761904762,0.2857142857,0.1904761905,0.1904761905,0.04761904762,0.283440061,0.6763046542,0.3928645932,15,1550,14.1,NA,-0.29
SDN,Sudan,7,42,0.7482993197,0.4285714286,0.2857142857,0.2857142857,0.2857142857,0,0.1582198553,0.7495416355,0.5913217802,NA,1450,19,NA,NA
ZMB,Zambia,7,29,0.7684729064,0.2857142857,0.2857142857,0.2857142857,0.2857142857,0.1428571429,0.082218924,0.6410655482,0.5588466242,35,1350,11.5,NA,-0.62
IND,India,8921,36880,0.920062079,0.3993946867,0.2830400179,0.1830512274,0.1991929156,0.0279116691,0.3892767309,0.4095992482,0.02032251729,48,1530,10.1,53.54,-0.21
LKA,Sri Lanka,297,764,0.8636804344,0.404040404,0.2828282828,0.1717171717,0.2087542088,0.0202020202,0.349802371,0.4607290623,0.1109266914,NA,2920,15,46.37,NA
ARE,United Arab Emirates,145,738,0.8991869919,0.4827586207,0.2827586207,0.2620689655,0.2482758621,0.02068965517,0.4029241426,0.5634830665,0.160558924,25,35770,78,51.8,NA
SRB,Serbia,266,2467,0.9425666924,0.4473684211,0.2819548872,0.2481203008,0.2443609023,0.04135338346,0.3887870618,0.507448305,0.1186612431,25,5280,42.2,NA,-0.62
CZE,Czech Republic,699,3933,0.9084846428,0.4563662375,0.2818311874,0.2575107296,0.2560801144,0.03147353362,0.4197800855,0.4934293599,0.07364927444,58,18130,73,57.42,0.38
NLD,Netherlands,2220,22396,0.9412766356,0.4657657658,0.2810810811,0.2761261261,0.2783783784,0.04954954955,0.4450925971,0.4865572067,0.04146460968,80,48250,92.3,68.99,1.39
