country.iso,country.name,num_u,num_contrib,gini,pr_total,particip_lower,particip_upper,var,pr_questions,pr_answers,pr_comments,pr_editions,IDV,GNI,Internet,English,WVS
THA,Thailand,1152,21466,0.9049324287,0.5555555556,0.5267238288,0.5840180027,0.05729417391,0.4105902778,0.3888888889,0.1701388889,0.05815972222,20,5210,23.7,47.79,0.01
ETH,Ethiopia,129,1088,0.8792749658,0.496124031,0.4112126879,0.5812595417,0.1700468538,0.4108527132,0.3333333333,0.1007751938,0.06201550388,20,410,1.1,NA,-0.36
SLE,Sierra Leone,4,20,0.675,0.5,0.1500389892,0.8499610108,0.6999220217,0.5,0.5,0.25,0,20,580,0.9,NA,NA
CHL,Chile,1075,26163,0.9140231234,0.6641860465,0.6354138997,0.6917889503,0.05637505062,0.4846511628,0.4837209302,0.2102325581,0.07627906977,23,14280,52.3,48.75,0
EGY,Egypt,1965,39057,0.8900817172,0.6508905852,0.6295380419,0.6716543153,0.04211627343,0.5185750636,0.4432569975,0.186259542,0.07430025445,25,3000,95,42.13,-0.54
SRB,Serbia,1294,36444,0.8832679623,0.6901081917,0.6643797656,0.7147112218,0.0503314562,0.5239567233,0.5193199382,0.2472952087,0.08346213292,25,5280,42.2,NA,-0.62
HKG,Hong Kong,970,50795,0.9262603572,0.693814433,0.6640918485,0.7220079592,0.0579161107,0.5412371134,0.5092783505,0.2670103093,0.09381443299,25,36560,72.2,52.5,-0.98
ARE,United Arab Emirates,773,26559,0.922047021,0.6610608021,0.6269686895,0.6935600325,0.06659134297,0.5394566624,0.4501940492,0.2069857697,0.08408796895,25,35770,78,51.8,NA
MAR,Morocco,547,11597,0.8977972775,0.6252285192,0.5839219398,0.664788461,0.08086652122,0.4972577697,0.4442413163,0.1663619744,0.07129798903,25,2950,53,42.43,-1.04
SAU,Saudi Arabia,459,10737,0.9181668342,0.6187363834,0.5734915409,0.6620102663,0.08851872537,0.4989106754,0.4030501089,0.1568627451,0.06318082789,25,21210,47.5,39.48,0.15
KWT,Kuwait,168,9133,0.9508434875,0.7202380952,0.648019892,0.7826095993,0.1345897073,0.5952380952,0.4107142857,0.1845238095,0.07738095238,25,44100,74.2,41.8,NA
TZA,"Tanzania, United Republic of",93,719,0.8660774373,0.5376344086,0.4368293043,0.6354537869,0.1986244826,0.4623655914,0.3225806452,0.09677419355,0.04301075269,25,570,12,NA,-0.15
MYS,Malaysia,1554,30707,0.8820924377,0.6634491634,0.6395779218,0.6865143112,0.04693638938,0.5624195624,0.4054054054,0.1879021879,0.07335907336,26,9800,61,59.73,0.09
PRT,Portugal,2851,73884,0.8763921949,0.7271132936,0.7104649362,0.7431504462,0.03268550997,0.5762890214,0.5257804279,0.2483339179,0.1062784988,27,20580,57.8,56.83,0.49
SVN,Slovenia,692,36649,0.8820824784,0.7846820809,0.752529292,0.8136916409,0.06116234886,0.6286127168,0.612716763,0.3338150289,0.1112716763,27,22810,69,60.6,0.36
ROU,Romania,3570,154688,0.8884553739,0.7414565826,0.7268401335,0.7555539569,0.0287138234,0.5784313725,0.5641456583,0.2899159664,0.1134453782,30,8150,44,58.63,-1.55
MEX,Mexico,2973,55106,0.9000639797,0.6363942146,0.6189371095,0.6534993004,0.03456219092,0.454086781,0.4735956946,0.1829801547,0.06390850992,30,9600,35,49.83,1.03
